address,created,id_user,active,Property_type,Price,Bedrooms,Bathrooms,Car_spaces,new_or_established,Swimming_pool,Garage,Balcony,Outdoor_area,Undercover_parking,Shed,Fully_fenced,Outdoor_spa,Tennis_court,Ensuite,DishWasher,Study,Built_in_robes,Alarm_system,Broadband,Floorboards,Gym,Rumpus_room,Workshop,Air_conditioning,Solar_panels,Heating,High_energy_efficiency,Water_tank,Solar_hot_water,user_id,Updated,plan
"Unit 79
 98 Lucas Extension
Calebland, NSW, 0251",2019-06-09 16:22:09,b31f41be-d170-4304-86a1-e833f34bce14,1,Apartment_Unit,855000,1,8,4,Established,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,2019-06-09 16:22:09,
"25 Keith Park
Murphymouth, ACT, 2686",2019-06-09 16:22:09,b7a4a58b-ff89-46ad-8d33-21503907578c,1,Apartment_Unit,780000,6,15,9,Established,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,2019-06-09 16:22:09,
"72 /
 75 Soto Row
Peterstown, NSW, 2805",2019-06-09 16:22:09,6a43c3ff-5f12-47f4-a9f0-e7ab974bc74f,1,Apartment_Unit,960000,6,18,1,New,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,2019-06-09 16:22:09,
"014 Henderson Parkway
Douglasfort, WA, 0853",2019-06-09 16:22:09,4568d58e-e16d-41d3-add6-fc21e9ffc663,1,Apartment_Unit,765000,6,6,2,New,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2019-06-09 16:22:09,
"Unit 28
 7 Shaffer Terrace
West Danielburgh, SA, 1130",2019-06-09 16:22:09,a5c2ddcf-0f54-4994-bc17-925eda766b4e,1,Villa,305000,4,8,2,Established,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,2019-06-09 16:22:09,
"Apt. 760
 2 Harrington Extension
Allenport, SA, 6027",2019-06-09 16:22:09,858711db-fd0e-4121-8816-5d6301af7f9e,1,Acreage,800000,17,11,6,Established,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,2019-06-09 16:22:09,
"8 Julie Motorway
Lake Stephanie, NSW, 2920",2019-06-09 16:22:09,cf0ee233-267e-4fab-8f05-3dcb5c2313a6,1,Land,985000,6,19,8,Established,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2019-06-09 16:22:09,
"08 Chandler Copse
Katherinemouth, NSW, 2037",2019-06-09 16:22:09,b8435762-dc1e-4d4a-b726-7c509e2ddb70,1,Acreage,265000,12,14,5,New,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,2019-06-09 16:22:09,
"54 Bruce Key
Wilkinsonfurt, NSW, 2947",2019-06-09 16:22:09,0631b1a2-7667-48c8-a4be-b8a7f792b147,1,Apartment_Unit,235000,13,2,5,New,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,2019-06-09 16:22:09,
"4 Heidi Lower
Hillchester, QLD, 2965",2019-06-09 16:22:09,1189dbc5-377a-4c5c-a8fb-c3eb70c7cc83,1,Retirement Living,865000,14,14,4,Established,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,2019-06-09 16:22:09,
"8 Stacey Tollway
St. Charleneshire, SA, 2920",2019-06-09 16:22:09,47e803b8-db1e-4f37-b212-8ee6f6a34a17,1,Villa,90000,4,16,7,Established,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2019-06-09 16:22:09,
"623 /
 63 Amy Elbow
Lewismouth, QLD, 2585",2019-06-09 16:22:09,84bab07d-f8d1-46af-812b-e2c1e8796b0d,1,Block Of Units,885000,7,12,2,Established,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,2019-06-09 16:22:09,
"55 /
 4 Nicholas Block
New Jeffreyberg, TAS, 2652",2019-06-09 16:22:09,46852031-1b48-4323-bef4-c47f6540b6c8,1,Villa,565000,13,14,3,New,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,2019-06-09 16:22:09,
"Flat 28
 3 Burnett Drive
Port Molly, VIC, 9121",2019-06-09 16:22:09,771394e5-b27e-4cbb-9983-e2b02b1a1b63,1,Townhouse,805000,9,15,7,Established,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,2019-06-09 16:22:09,
